STATION,NAME,DATE,TAVG,TMAX,TMIN,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/05/48,,65,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/06/48,,72,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/07/48,,62,53,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/08/48,,71,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/09/48,,64,53,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/10/48,,76,46,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/11/48,,79,59,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/12/48,,75,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/13/48,,74,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/14/48,,82,51,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/15/48,,68,51,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/16/48,,70,44,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/17/48,,72,48,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/18/48,,72,47,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/19/48,,70,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/20/48,,79,47,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/21/48,,74,52,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/22/48,,65,60,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/23/48,,90,64,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/24/48,,85,68,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/25/48,,81,61,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/26/48,,79,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/27/48,,82,60,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/28/48,,89,68,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/29/48,,93,69,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/30/48,,83,64,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/01/48,,75,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/02/48,,77,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/03/48,,81,61,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/04/48,,90,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/05/48,,90,68,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/06/48,,81,61,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/07/48,,76,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/08/48,,85,51,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/09/48,,88,56,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/10/48,,93,64,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/11/48,,92,67,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/12/48,,93,70,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/13/48,,80,69,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/14/48,,75,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/15/48,,80,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/16/48,,86,60,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/17/48,,89,69,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/18/48,,86,63,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/19/48,,78,59,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/20/48,,90,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/21/48,,85,68,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/22/48,,84,66,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/23/48,,83,61,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/24/48,,75,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/25/48,,83,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/26/48,,74,64,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/27/48,,88,63,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/28/48,,82,62,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/29/48,,85,58,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/30/48,,90,63,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",07/31/48,,81,63,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/01/48,,85,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/02/48,,76,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/03/48,,78,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/04/48,,76,58,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/05/48,,67,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/06/48,,75,53,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/07/48,,73,46,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/08/48,,75,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/09/48,,75,51,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/10/48,,80,49,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/11/48,,84,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/12/48,,81,62,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/13/48,,78,59,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/14/48,,80,58,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/15/48,,81,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/16/48,,88,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/17/48,,88,62,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/18/48,,74,62,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/19/48,,77,60,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/20/48,,77,58,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/21/48,,81,58,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/22/48,,86,62,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/23/48,,88,59,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/24/48,,91,63,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/25/48,,96,72,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/26/48,,99,68,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/27/48,,98,69,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/28/48,,99,71,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/29/48,,89,68,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/30/48,,73,61,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",08/31/48,,68,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/01/48,,72,44,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/02/48,,78,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/03/48,,84,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/04/48,,84,59,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/05/48,,91,56,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/06/48,,89,61,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/07/48,,86,68,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/08/48,,80,65,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/09/48,,74,59,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/10/48,,73,53,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/11/48,,69,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/12/48,,85,57,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/13/48,,85,61,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/14/48,,69,56,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/15/48,,66,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/16/48,,70,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/17/48,,85,53,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/18/48,,81,66,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/19/48,,77,64,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/20/48,,76,58,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/21/48,,59,44,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/22/48,,59,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/23/48,,60,43,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/24/48,,59,47,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/25/48,,66,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/26/48,,72,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/27/48,,76,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/28/48,,78,45,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/29/48,,78,48,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",09/30/48,,78,59,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/01/48,,71,56,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/02/48,,63,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/03/48,,54,37,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/04/48,,59,32,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/05/48,,57,39,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/06/48,,62,44,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/07/48,,72,47,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/08/48,,61,47,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/09/48,,62,45,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/10/48,,58,41,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/11/48,,65,44,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/12/48,,59,41,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/13/48,,52,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/14/48,,55,43,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/15/48,,60,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/16/48,,75,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/17/48,,58,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/18/48,,45,34,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/19/48,,52,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/20/48,,42,35,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/21/48,,47,29,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/22/48,,64,28,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/23/48,,62,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/24/48,,55,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/25/48,,48,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/26/48,,62,32,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/27/48,,59,37,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/28/48,,66,35,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/29/48,,50,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/30/48,,61,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",10/31/48,,64,33,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/01/48,,60,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/02/48,,58,45,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/03/48,,64,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/04/48,,71,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/05/48,,74,49,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/06/48,,72,54,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/07/48,,54,39,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/08/48,,59,35,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/09/48,,64,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",11/10/48,,65,36,
